Database,Keyword,Tags,Seed keyword,Page,Topic,Page type,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content reference 1,Content reference 2,Content reference 3,Content reference 4,Content reference 5,Content reference 6,Content reference 7,Content reference 8,Content reference 9,Content reference 10,Competitor on TOP 10 #1,Competitor on TOP 10 #2,Competitor on TOP 10 #3,Competitor on TOP 10 #4,Competitor on TOP 10 #5,Competitor on TOP 10 #6,Competitor on TOP 10 #7,Competitor on TOP 10 #8,Competitor on TOP 10 #9,Competitor on TOP 10 #10,Priority,Url,Idea,target_page,match_type
uk,take home pay on 28000,,,(non-clustered),,,260.0,10.0,0.0,0.01,48600000.0,Informational,"Related Searches, AI Overview, Video","0.44,0.44,0.29,0.29,0.29,0.29,0.19,0.10,0.44,0.67,0.67,0.67",90.0,,,,,,,,,,,,,,,,,,,,,,,,https://uknetpay.co.uk/salary/28000-after-tax,exact_match
uk,tax on 40000 salary uk,,,(non-clustered),,,320.0,29.0,0.56,0.02,8590000.0,Informational,"Video, People Also Ask, Related Searches, AI Overview","0.66,0.54,0.54,0.54,0.54,0.44,0.54,0.66,0.54,0.66,0.44,0.44",90.0,,,,,,,,,,,,,,,,,,,,,,,,https://uknetpay.co.uk/salary/40000-after-tax,exact_match
uk,tax rate on 2nd job,,,(non-clustered),,,110.0,13.0,0.0,0.0,116.0,"Informational, Commercial","Featured Snippet, People Also Ask, Related Searches, Discussions And Forums, Site Links, Video","1.00,0.54,0.43,0.04,0.02,0.00,0.00,0.02,0.54,0.66,0.00,0.00",20.0,,,,,,,,,,,,,,,,,,,,,,,,/insights/uk-tax-bands-explained-2026,article_match
uk,teachers pay calculator take home,,,(non-clustered),,,210.0,13.0,0.0,0.0,97.0,"Informational, Commercial","Video, Related Searches","0.09,1.00,0.26,0.11,0.11,0.00,0.00,0.26,0.00,0.00,0.14,0.01",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,vat calculator for ireland,,,(non-clustered),,,90.0,13.0,1.24,0.04,16400000.0,Informational,"People Also Ask, Related Searches","0.00,0.34,0.65,0.65,0.03,0.00,0.00,0.07,0.00,0.00,0.00,0.00",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,weekly to monthly calculator,,,(non-clustered),,,260.0,13.0,0.0,0.0,82.0,Informational,"Video, People Also Ask, Related Searches","0.29,0.36,0.29,0.36,0.29,0.29,0.29,0.19,0.19,0.23,0.19,0.29",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,what does pro rata mean in wages,,,(non-clustered),,,880.0,22.0,0.0,0.01,104.0,Informational,"Site Links, Video, Related Searches, AI Overview","1.00,1.00,1.00,0.13,0.55,0.76,0.67,0.36,0.45,0.67,0.45,0.76",20.0,,,,,,,,,,,,,,,,,,,,,,,,/pro-rata,tool_match
uk,what is 30000 after tax,,,(non-clustered),,,210.0,13.0,0.0,0.01,143000000.0,Informational,"Video, People Also Ask, Related Searches, AI Overview","0.53,0.65,0.53,0.65,0.53,0.65,0.81,0.65,0.53,0.65,0.65,0.81",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,working out pro rata salary,,,(non-clustered),,,320.0,13.0,2.1,0.03,106.0,Informational,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.44,0.44,0.54,0.54,0.54,0.66,0.54,1.00,0.44,0.81,0.44,0.54",90.0,,,,,,,,,,,,,,,,,,,,,,,,/pro-rata,tool_match
uk,yearly to hourly salary,,,(non-clustered),,,170.0,13.0,0.0,0.0,88400000.0,Informational,"Video, Related Searches","0.28,0.35,0.17,1.00,0.66,0.23,0.53,0.35,0.66,0.23,0.17,0.82",90.0,,,,,,,,,,,,,,,,,,,,,,,,/hourly,tool_match
uk,10000 after tax uk,,,(non-clustered),,,110.0,14.0,0.0,0.03,111.0,Informational,"People Also Ask, Related Searches, AI Overview, Video","0.78,1.00,0.78,0.78,0.78,0.78,0.78,0.64,0.50,0.78,0.50,0.50",90.0,,,,,,,,,,,,,,,,,,,,,,,,https://uknetpay.co.uk/salary/10000-after-tax,exact_match
uk,100000 after tax uk,,,(non-clustered),,,720.0,14.0,0.0,0.0,130.0,Informational,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.59,0.72,0.72,0.59,0.72,0.72,0.72,1.00,0.72,0.88,0.72,0.72",90.0,,,,,,,,,,,,,,,,,,,,,,,,https://uknetpay.co.uk/salary/100000-after-tax,exact_match
uk,100k take home pay,,,(non-clustered),,,260.0,14.0,0.0,0.0,166000000.0,Informational,"Site Links, Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.44,0.15,0.44,0.54,0.66,0.54,0.66,0.66,0.11,0.54,0.66,0.54",20.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,12.20 an hour is how much a year,,,(non-clustered),,,110.0,14.0,0.0,0.0,2370000.0,Informational,"People Also Ask, Related Searches, AI Overview, Video","1.00,0.82,0.64,0.52,0.64,0.82,1.00,0.41,0.29,0.41,0.23,0.17",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,12.21 x 4,,,(non-clustered),,,170.0,14.0,0.0,0.0,61.0,Informational,"Instant Answer, Video, People Also Ask, Related Searches","0.18,0.18,0.18,0.23,0.28,0.23,0.28,0.35,0.18,0.23,0.18,0.18",20.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,1257l 0,,,(non-clustered),,,170.0,14.0,0.0,0.01,104000.0,Informational,"Site Links, Video, FAQ, Related Searches, AI Overview","0.10,0.14,0.35,0.29,0.29,0.22,0.81,0.22,0.29,0.43,0.35,0.22",20.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,13 an hour is how much a year uk,,,(non-clustered),,,210.0,12.0,0.0,0.0,77.0,Informational,"Related Searches, AI Overview","1.00,0.66,0.66,0.17,0.43,0.82,0.82,0.66,0.43,0.53,0.43,0.66",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,15 an hour annual salary,,,(non-clustered),,,110.0,14.0,0.0,0.0,125000000.0,Informational,"Video, People Also Ask, Related Searches, AI Overview","0.29,0.29,0.22,0.29,0.10,0.22,0.22,0.14,0.18,0.43,0.22,0.22",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,15.50 an hour is how much a year,,,(non-clustered),,,170.0,18.0,0.0,0.0,2410000.0,Informational,"AI Overview, People Also Ask, Related Searches","0.43,0.43,0.29,0.43,0.35,0.43,0.54,0.35,0.35,0.54,0.54,0.66",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,2 jobs tax code,,,(non-clustered),,,140.0,14.0,0.0,0.0,113.0,"Informational, Commercial","Site Links, Video, Jobs Search, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.81,0.81,0.53,0.34,0.81,0.34,0.43,0.21,0.53,0.65,0.65,0.65",20.0,,,,,,,,,,,,,,,,,,,,,,,,/two-jobs,tool_match
uk,22k after tax,,,(non-clustered),,,590.0,14.0,0.0,0.0,102.0,Informational,"AI Overview, Video, People Also Ask, Related Searches","0.16,0.13,0.13,0.13,0.10,0.13,0.13,0.08,0.07,0.08,0.08,0.07",90.0,,,,,,,,,,,,,,,,,,,,,,,,https://uknetpay.co.uk/salary/22000-after-tax,exact_match
uk,23 000 after tax,,,(non-clustered),,,170.0,14.0,0.72,0.01,106000000.0,Informational,"Video, People Also Ask, Related Searches, AI Overview","0.13,0.07,0.04,0.05,0.04,0.04,0.04,0.03,0.02,0.05,0.16,0.03",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,23000 take home pay,,,(non-clustered),,,170.0,14.0,0.0,0.01,103.0,"Informational, Commercial","People Also Ask, Related Searches, AI Overview, Video","0.35,0.35,0.35,0.43,0.35,0.29,0.35,0.35,0.22,0.35,0.35,0.29",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,2400 after tax,,,(non-clustered),,,210.0,21.0,0.62,0.03,17900000.0,Informational,"AI Overview, Video, People Also Ask, Related Searches","0.65,0.53,0.65,0.65,0.53,0.53,0.43,0.53,0.43,0.65,0.43,0.53",90.0,,,,,,,,,,,,,,,,,,,,,,,,/salary/2400-after-tax,missing_page
uk,25000 take home pay,,,(non-clustered),,,720.0,11.0,0.34,0.01,252000000.0,Informational,"People Also Ask, Related Searches, AI Overview","0.32,0.88,0.32,0.72,0.72,0.48,0.59,0.48,0.48,0.48,0.39,0.48",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,250000 after tax,,,(non-clustered),,,170.0,14.0,0.0,0.0,19800000.0,Informational,"AI Overview, Video, People Also Ask, Related Searches","0.66,0.35,0.43,0.43,0.66,0.43,0.53,0.35,0.35,0.35,0.23,0.35",90.0,,,,,,,,,,,,,,,,,,,,,,,,https://uknetpay.co.uk/salary/250000-after-tax,exact_match
uk,25200 after tax,,,(non-clustered),,,140.0,14.0,0.0,0.01,990000.0,Informational,"AI Overview, Video, People Also Ask, Related Searches","0.80,0.65,0.42,0.34,0.34,0.34,0.26,0.34,0.26,0.26,0.26,0.26",90.0,,,,,,,,,,,,,,,,,,,,,,,,https://uknetpay.co.uk/salary/25000-after-tax,close_match
