keyword,volume,kd,cpc_usd,comp_density,intent,click_potential,serp_features
uk salary calculator,40500.0,61.0,0.8,0.01,Informational,90.0,"Video, Related Searches"
wage calculator,27100.0,42.0,0.87,0.03,Informational,75.0,"Video, Related Searches"
wage calculator uk,14800.0,62.0,0.8,0.01,Informational,90.0,"Video, Related Searches"
salary calculator salary calculator,14800.0,54.0,0.71,0.0,Informational,90.0,"Video, Related Searches"
salary take home calculator,12100.0,48.0,0.57,0.0,Informational,90.0,"Video, Related Searches"
salary calculator salary,9900.0,59.0,0.71,0.0,Informational,90.0,"Video, Related Searches"
pro rata calculator,9900.0,16.0,2.54,0.02,Commercial,90.0,"Video, People Also Ask, Related Searches"
pro rata salary calculator,8100.0,9.0,2.4,0.02,Informational,90.0,"Video, People Also Ask, Related Searches"
salary sacrifice calculator,8100.0,28.0,0.93,0.09,Informational,90.0,"Related Searches, Video, People Also Ask"
40k after tax,6600.0,16.0,0.69,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
income calculator,6600.0,51.0,1.22,0.0,Informational,75.0,"Video, Related Searches"
40000 after tax,6600.0,16.0,0.67,0.01,Informational,90.0,"People Also Ask, Related Searches, AI Overview, Video"
50k after tax uk,6600.0,18.0,0.7,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
nhs take home pay calculator,6600.0,24.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches"
40k after tax uk,5400.0,15.0,0.69,0.01,Informational,90.0,"People Also Ask, Related Searches, Short Videos, AI Overview, Video"
inside ir35 calculator,5400.0,13.0,0.89,0.3,Informational,20.0,"Site Links, Video, Adwords Bottom, People Also Ask, Related Searches"
30k after tax uk,5400.0,16.0,0.65,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
monthly salary calculator,5400.0,58.0,0.72,0.01,Informational,90.0,"Video, Related Searches"
salary calc,5400.0,63.0,0.71,0.0,Informational,75.0,"Video, Related Searches"
salary calculator 2025,4400.0,72.0,0.57,0.0,Navigational,20.0,"Video, Related Searches, Site Links"
salary bot,4400.0,41.0,0.0,0.0,Navigational,20.0,"Knowledge Panel, Site Links, Related Searches"
ir35 calculator,4400.0,16.0,1.0,0.28,Informational,75.0,"People Also Ask, Video"
annual salary calculator,4400.0,59.0,0.75,0.01,Informational,90.0,"Video, People Also Ask, Related Searches"
30000 after tax,4400.0,16.0,0.59,0.01,Informational,90.0,"People Also Ask, Related Searches, AI Overview, Video"
income calculator uk,4400.0,66.0,0.8,0.01,Informational,90.0,"Video, Related Searches"
nhs salary calculator,4400.0,14.0,0.0,0.0,Informational,90.0,"Related Searches, Video"
salary salary,4400.0,77.0,2.22,0.0,Informational,75.0,"People Also Ask, Related Searches, AI Overview, Video"
30000 after tax uk,4400.0,16.0,0.59,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
annual salary estimator,4400.0,73.0,0.75,0.01,Informational,90.0,"Video, People Also Ask, Related Searches"
50000 after tax uk,3600.0,16.0,0.61,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
50k after tax,3600.0,12.0,0.65,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
monthly pay calculator,3600.0,55.0,0.72,0.01,Informational,90.0,"Video, People Also Ask, Related Searches"
annual income calculator,3600.0,71.0,0.75,0.01,Informational,90.0,"Video, People Also Ask, Related Searches"
hourly compensation calculator,2900.0,25.0,0.0,0.0,Informational,20.0,"Site Links, Video, Related Searches"
wages calculator uk,2900.0,51.0,0.8,0.01,Informational,90.0,Related Searches
after tax salary calculator,2900.0,70.0,0.61,0.01,Informational,90.0,"People Also Ask, Related Searches"
40000 after tax uk,2900.0,15.0,0.69,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
60000 after tax uk,2900.0,14.0,0.67,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
salary checker,2900.0,60.0,1.0,0.03,Informational,75.0,"Video, Related Searches"
calculate a salary,2900.0,0.0,1.5,0.02,,0.0,
post tax salary calculator,2900.0,76.0,0.61,0.01,Informational,90.0,"Video, Related Searches"
monthly salary payment calculator,2900.0,66.0,0.72,0.01,Informational,90.0,"Video, Related Searches"
net wage calculator,2900.0,62.0,0.71,0.0,Informational,90.0,"Video, Related Searches"
my salary calculator,2900.0,68.0,0.84,0.0,Informational,90.0,Related Searches
outside ir35 calculator,2900.0,11.0,1.15,0.18,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches"
hr to salary calculator,2900.0,54.0,0.0,0.0,Informational,90.0,"Video, Related Searches"
contractor calculator,2400.0,24.0,1.11,0.1,Navigational,75.0,"Video, Related Searches"
tax on salary bonus calculator,2400.0,37.0,1.3,0.0,Informational,90.0,"Video, Related Searches"
bonus tax estimator,2400.0,47.0,1.3,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
take home income calculator,2400.0,43.0,0.57,0.0,Informational,90.0,Related Searches
figure salary to hourly,2400.0,22.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
tax calculation for bonus,2400.0,49.0,1.3,0.0,Informational,90.0,"People Also Ask, Related Searches, AI Overview, Video"
tax from bonus calculator,2400.0,42.0,1.3,0.0,Informational,20.0,"Related Searches, Site Links, Video, People Also Ask"
bonus tax calculator,2400.0,41.0,1.3,0.0,"Informational, Commercial",20.0,"Site Links, Video, Related Searches"
pro rata pay calculator,2400.0,13.0,2.4,0.02,Informational,90.0,"Related Searches, People Also Ask"
bonus taxation calculator,2400.0,49.0,1.3,0.0,Informational,20.0,"Video, Related Searches, Site Links"
net payable,2400.0,22.0,0.92,0.01,Informational,20.0,"Related Searches, AI Overview, Site Links, Video, People Also Ask"
tax with bonus calculator,2400.0,51.0,1.3,0.0,Informational,90.0,"Video, Related Searches"
salary exchange calculator,1900.0,21.0,1.26,0.05,Informational,90.0,"Video, Related Searches"
england salary calculator,1900.0,70.0,0.8,0.01,Informational,90.0,"People Also Ask, Related Searches"
taxing bonus payments calculator,1900.0,48.0,1.3,0.0,Informational,20.0,"Site Links, Video, Related Searches"
monthly wage calculator,1900.0,72.0,0.74,0.01,Informational,90.0,Related Searches
take home wage calculator,1900.0,35.0,0.57,0.0,Informational,90.0,Related Searches
wage after tax calculator,1900.0,52.0,0.61,0.01,Informational,90.0,"People Also Ask, Related Searches, Video"
monthly take home calculator,1900.0,72.0,0.55,0.02,Informational,90.0,Related Searches
30 000 after tax,1600.0,21.0,0.59,0.01,Informational,90.0,"Discussions And Forums, AI Overview, Video, Related Searches"
salary estimator hourly,1600.0,25.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
pro rata salary,1600.0,19.0,2.65,0.02,Informational,90.0,"Video, Related Searches"
bonus estimator,1600.0,31.0,0.0,0.0,Informational,75.0,"Related Searches, Video"
40 000 after tax,1600.0,15.0,0.67,0.01,Informational,20.0,"Site Links, Video, Related Searches, AI Overview"
takehome pay calculator,1600.0,32.0,0.57,0.0,Informational,90.0,"Video, Related Searches"
bring home pay calculator,1600.0,49.0,0.57,0.0,Informational,90.0,Related Searches
bonus calculator,1600.0,46.0,0.0,0.0,Informational,75.0,Related Searches
calculate a bonus,1600.0,36.0,0.0,0.0,"Informational, Commercial",90.0,"Video, People Also Ask, Related Searches"
calculation bonus,1600.0,53.0,0.0,0.0,Informational,75.0,"People Also Ask, Related Searches, AI Overview, Video, Video Carousel"
per hour to salary conversion,1600.0,57.0,0.65,0.01,Informational,20.0,"Site Links, Video, Related Searches"
monthly earnings calculator,1300.0,48.0,0.72,0.01,Informational,90.0,"Video, Related Searches"
ltd company tax calculator,1300.0,21.0,1.68,0.26,Informational,90.0,"Related Searches, Video, FAQ"
uk salary take home calculator,1300.0,72.0,0.58,0.01,Informational,90.0,"People Also Ask, Related Searches"
how to calculate your hourly salary,1300.0,43.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
how do you calculate annual salary to hourly rate,1300.0,23.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, Short Videos, AI Overview"
how to compute hourly rate from annual salary,1300.0,14.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video, People Also Ask"
