keyword,volume,kd,cpc_usd,comp_density,intent,click_potential,serp_features
pro rata calculator,9900.0,16.0,2.54,0.02,Commercial,90.0,"Video, People Also Ask, Related Searches"
pro rata salary calculator,8100.0,9.0,2.4,0.02,Informational,90.0,"Video, People Also Ask, Related Searches"
salary sacrifice calculator,8100.0,28.0,0.93,0.09,Informational,90.0,"Related Searches, Video, People Also Ask"
40k after tax,6600.0,16.0,0.69,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
40000 after tax,6600.0,16.0,0.67,0.01,Informational,90.0,"People Also Ask, Related Searches, AI Overview, Video"
50k after tax uk,6600.0,18.0,0.7,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
nhs take home pay calculator,6600.0,24.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches"
40k after tax uk,5400.0,15.0,0.69,0.01,Informational,90.0,"People Also Ask, Related Searches, Short Videos, AI Overview, Video"
inside ir35 calculator,5400.0,13.0,0.89,0.3,Informational,20.0,"Site Links, Video, Adwords Bottom, People Also Ask, Related Searches"
30k after tax uk,5400.0,16.0,0.65,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
ir35 calculator,4400.0,16.0,1.0,0.28,Informational,75.0,"People Also Ask, Video"
30000 after tax,4400.0,16.0,0.59,0.01,Informational,90.0,"People Also Ask, Related Searches, AI Overview, Video"
nhs salary calculator,4400.0,14.0,0.0,0.0,Informational,90.0,"Related Searches, Video"
30000 after tax uk,4400.0,16.0,0.59,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
50000 after tax uk,3600.0,16.0,0.61,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
50k after tax,3600.0,12.0,0.65,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
hourly compensation calculator,2900.0,25.0,0.0,0.0,Informational,20.0,"Site Links, Video, Related Searches"
40000 after tax uk,2900.0,15.0,0.69,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
60000 after tax uk,2900.0,14.0,0.67,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
calculate a salary,2900.0,0.0,1.5,0.02,,0.0,
outside ir35 calculator,2900.0,11.0,1.15,0.18,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches"
contractor calculator,2400.0,24.0,1.11,0.1,Navigational,75.0,"Video, Related Searches"
figure salary to hourly,2400.0,22.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
pro rata pay calculator,2400.0,13.0,2.4,0.02,Informational,90.0,"Related Searches, People Also Ask"
net payable,2400.0,22.0,0.92,0.01,Informational,20.0,"Related Searches, AI Overview, Site Links, Video, People Also Ask"
salary exchange calculator,1900.0,21.0,1.26,0.05,Informational,90.0,"Video, Related Searches"
30 000 after tax,1600.0,21.0,0.59,0.01,Informational,90.0,"Discussions And Forums, AI Overview, Video, Related Searches"
salary estimator hourly,1600.0,25.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
pro rata salary,1600.0,19.0,2.65,0.02,Informational,90.0,"Video, Related Searches"
40 000 after tax,1600.0,15.0,0.67,0.01,Informational,20.0,"Site Links, Video, Related Searches, AI Overview"
ltd company tax calculator,1300.0,21.0,1.68,0.26,Informational,90.0,"Related Searches, Video, FAQ"
how do you calculate annual salary to hourly rate,1300.0,23.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, Short Videos, AI Overview"
how to compute hourly rate from annual salary,1300.0,14.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video, People Also Ask"
how do you calculate hourly wage from annual salary,1300.0,13.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, Short Videos, AI Overview"
how to calculate annual salary into hourly,1300.0,15.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
teacher salary calculator,1300.0,10.0,0.0,0.0,"Informational, Commercial",90.0,"Video, Related Searches"
how to calculate hourly rate by annual salary,1300.0,16.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
how to calculate salary into hourly,1300.0,24.0,0.0,0.0,Informational,90.0,"Video, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview"
how do you calculate a salary to an hourly rate,1300.0,16.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
day rate calculator,1300.0,15.0,0.0,0.0,Informational,90.0,"Video, Related Searches"
umbrella company calculator,1300.0,8.0,1.66,0.73,Commercial,90.0,Related Searches
how do you figure hourly rate from salary,1300.0,21.0,0.0,0.0,Informational,90.0,"Related Searches, Short Videos, AI Overview, Video, People Also Ask"
how to calculate annual income to hourly rate,1300.0,16.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, AI Overview"
salary sacrifice calculator uk,1300.0,26.0,0.79,0.07,Commercial,90.0,"Video, Related Searches"
how to figure hourly rate from annual salary,1300.0,13.0,0.0,0.0,Informational,90.0,"AI Overview, Video, Video Carousel, People Also Ask, Related Searches, Short Videos"
how to figure hourly rate from yearly salary,1300.0,16.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
how to figure out hourly wage from annual salary,1300.0,21.0,0.0,0.0,Informational,20.0,"Site Links, Video, Featured Snippet, Video Carousel, People Also Ask, Related Searches"
how do you calculate your hourly rate from your salary,1300.0,28.0,0.0,0.0,Informational,90.0,"Discussions And Forums, AI Overview, Video, People Also Ask, Related Searches, Short Videos"
how to figure your hourly rate from salary,1300.0,11.0,0.0,0.0,Informational,90.0,"Video, Adwords Bottom, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview"
how to work out annual salary to hourly rate,1300.0,23.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video, Video Carousel"
how to get an hourly rate from annual salary,1000.0,17.0,0.0,0.0,Informational,90.0,"Video, Video Carousel, Related Searches, AI Overview"
how to figure out annual salary from hourly rate,1000.0,27.0,0.0,0.0,Informational,20.0,"Site Links, Video, Related Searches, AI Overview"
40k take home pay,1000.0,18.0,0.0,0.0,Informational,20.0,"Site Links, Video, Related Searches, AI Overview"
salary calculator with salary sacrifice,1000.0,22.0,0.93,0.09,Informational,90.0,"Video, Related Searches"
how to find hourly rate from yearly salary,1000.0,21.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video, Video Carousel"
umbrella calculator,1000.0,10.0,1.03,0.43,Commercial,75.0,"Video, Related Searches"
tax and dividend calculator,1000.0,25.0,1.51,0.01,Commercial,90.0,"Video, Related Searches"
umbrella pay calculator,1000.0,11.0,1.2,0.43,Commercial,90.0,Related Searches
contractor salary calculator,1000.0,17.0,1.52,0.17,Informational,90.0,"Video, Related Searches"
how to determine hourly rate from annual salary,1000.0,25.0,0.0,0.0,Informational,90.0,"Video, Related Searches, Discussions And Forums, AI Overview"
paystream calculator,1000.0,17.0,1.49,0.17,"Navigational, Transactional",20.0,"Related Searches, Site Links"
how do you determine hourly rate from yearly salary,1000.0,22.0,0.0,0.0,Informational,20.0,"AI Overview, Site Links, Video, Related Searches, Discussions And Forums"
how to calculate an annual salary from an hourly rate,1000.0,29.0,0.0,0.0,Informational,20.0,"Related Searches, AI Overview, Site Links, Video, People Also Ask"
how to calculate annual wage from hourly,1000.0,25.0,0.0,0.0,Informational,20.0,"Site Links, Video, Related Searches, AI Overview"
how to convert annual salary to hourly wage,1000.0,19.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video, Video Carousel, People Also Ask"
how to determine hourly rate from yearly salary,1000.0,13.0,0.0,0.0,Informational,90.0,"Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
how to convert yearly salary to hourly,1000.0,17.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video, Video Carousel"
40000 salary take home pay,1000.0,14.0,0.28,0.01,Informational,90.0,"Video, Related Searches, AI Overview"
50k take home pay,1000.0,14.0,0.0,0.0,Informational,90.0,"AI Overview, Video, Related Searches"
how to calculate hourly rate from salary,1000.0,24.0,0.0,0.0,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches, Short Videos, AI Overview"
what does pro rata mean in wages,880.0,22.0,0.0,0.01,Informational,20.0,"Site Links, Video, Related Searches, AI Overview"
30000 take home pay,880.0,20.0,0.56,0.01,Informational,90.0,"Video, People Also Ask, Related Searches"
40k salary after tax,880.0,14.0,0.0,0.0,Informational,90.0,"AI Overview, Video, Related Searches"
45000 take home pay,880.0,12.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
contractor pay calculator,880.0,19.0,1.52,0.17,Informational,90.0,Related Searches
salary dividend calculator,880.0,11.0,0.0,0.0,Commercial,90.0,"Video, Related Searches"
30k salary after tax,880.0,14.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
50000 take home pay,880.0,16.0,0.61,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
40k a year after tax,880.0,14.0,0.65,0.01,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
how do you calculate hourly rate from annual salary,880.0,14.0,0.0,0.0,Informational,90.0,"Video, Related Searches, Discussions And Forums, AI Overview"
how to calculate an hourly rate from an annual salary,880.0,22.0,0.0,0.0,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
how to calculate hourly wage based on annual salary,880.0,0.0,0.0,0.0,Informational,0.0,"AI Overview, Video, Video Carousel, Related Searches"
how do you calculate hourly rate from yearly salary,880.0,19.0,0.0,0.0,Informational,20.0,"Site Links, Video, Related Searches, Short Videos, AI Overview"
30k take home pay,880.0,12.0,0.28,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
34k after tax uk,720.0,14.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
33000 a year after tax,720.0,11.0,0.68,0.01,Informational,90.0,"Video, Related Searches, AI Overview"
100000 after tax uk,720.0,14.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
70 000 after tax uk,720.0,9.0,0.61,0.01,Informational,20.0,"Site Links, Video, Related Searches, AI Overview"
25000 take home pay,720.0,11.0,0.34,0.01,Informational,90.0,"People Also Ask, Related Searches, AI Overview"
how to calculate hourly rate from annual,720.0,16.0,0.0,0.0,Informational,90.0,"AI Overview, Video, Video Carousel, People Also Ask, Related Searches, Short Videos"
how to calculate hour rate from annual salary,720.0,10.0,0.0,0.0,Informational,90.0,"Video, Video Carousel, Related Searches, Short Videos, Discussions And Forums, AI Overview"
salary pro rata calculator,720.0,9.0,2.4,0.02,Commercial,90.0,"Video, People Also Ask, Related Searches"
pro rata calculator uk,720.0,6.0,0.0,0.02,Commercial,90.0,"Related Searches, Video, Adwords Bottom"
how to calculate the hourly rate from the annual salary,720.0,16.0,0.0,0.0,Informational,20.0,"Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links"
work out hourly rate from salary,720.0,23.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
work out pro rata pay,720.0,16.0,2.1,0.03,Informational,90.0,"Video, Related Searches, AI Overview"
45k take home pay,720.0,14.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview"
