Keyword;Position;Search Volume;CPC;Competition
take home pay from wages;88;6600;1.38;0.33
paye calculator uk;83;3600;0.95;0.05
wages calculator;60;3600;1.50;0.02
take home pay calculator 2025;88;2900;0.00;0.33
net income calculator salary;95;1600;1.02;0.33
earnings after tax uk;58;1600;0.55;0.33
uk paycheck calculator;84;1600;1.44;0.33
uk gross to net salary calculator;73;880;0.83;0.33
uk net income calculator;74;880;0.83;0.33
how much will i get paid after tax;88;880;1.12;0.01
gross to net uk;69;720;0.00;0.33
net salary uk;77;720;0.00;0.33
gross net calculator uk;83;720;1.70;0.01
uk pay after tax;56;720;0.55;0.33
uk income calculator;87;590;0.00;0.01
calculate annual salary;88;590;0.97;0.01
calculate net pay uk;88;590;0.60;0.01
weekly take home pay calculator;98;480;0.98;0.01
uk monthly wage calculator;65;480;0.86;0.02
paycalculator;81;480;1.40;0.02
calculate my wage;89;390;0.99;0.03
calculate my wage;75;390;0.99;0.03
after tax salary calculator uk;83;390;0.33;0.01
gross to net salary calculator uk;79;390;0.83;0.33
net wages calculator;77;390;1.00;0.01
average uk salary after tax;61;390;0.00;0.33
40 000 take home pay;87;390;0.00;0.33
calculate salary after tax uk;86;390;0.33;0.01
net pay calc;92;390;1.00;0.01
income calculator yearly;95;320;0.97;0.01
