Keyword;Position;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results
pro rata;89;14800;10.09;https://uknetpay.co.uk/pro-rata;0.00;0.00;0.01;119
uk tax bands;86;14800;0.44;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.04;162
uk tax bands;55;14800;0.44;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;25.00;0.00;0.04;162
tax bands;78;9900;0.39;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.02;156
pro rata calculator;66;8100;2.46;https://uknetpay.co.uk/pro-rata;0.00;0.00;0.03;98
uk income tax bands;86;8100;0.49;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.01;119
60k after tax uk;66;6600;0.04;https://uknetpay.co.uk/salary/60000-after-tax;0.00;0.00;0.33;108
take home pay from wages;88;6600;1.38;https://uknetpay.co.uk/;0.00;0.00;0.33;133
45000 after tax;73;4400;0.05;https://uknetpay.co.uk/salary/45500-after-tax;0.00;0.00;0.33;113
salary prorated calculator;82;4400;2.39;https://uknetpay.co.uk/pro-rata;0.00;0.00;0.02;104
70k after tax uk;66;3600;0.00;https://uknetpay.co.uk/salary/70500-after-tax;0.00;0.00;0.33;112
tax brackets 2026;85;3600;0.37;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.01;132
tax brackets 2026;71;3600;0.37;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.01;132
28000 after tax;48;3600;0.07;https://uknetpay.co.uk/salary/27000-after-tax;0.00;0.00;0.33;112
paye calculator uk;83;3600;0.95;https://uknetpay.co.uk/;0.00;0.00;0.05;112
income tax bands uk;88;3600;0.49;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.01;159
45k after tax;77;3600;0.00;https://uknetpay.co.uk/salary/45500-after-tax;0.00;0.00;0.33;120
wages calculator;60;3600;1.50;https://uknetpay.co.uk/;0.00;0.00;0.02;112
calculate salary after tax;65;2900;0.61;https://www.uknetpay.co.uk/;0.00;0.00;0.01;120
net wage calculator;35;2900;0.71;https://www.uknetpay.co.uk/;50.00;100.00;0.00;117
hourly wage calculator uk;59;2900;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;99
yearly wage calculator;61;2900;0.75;https://www.uknetpay.co.uk/;0.00;0.00;0.01;112
post tax salary calculator;58;2900;0.61;https://www.uknetpay.co.uk/;0.00;0.00;0.01;114
after tax salary calculation;60;2900;0.61;https://www.uknetpay.co.uk/;0.00;0.00;0.01;126
take home pay calculator 2025;88;2900;0.00;https://uknetpay.co.uk/;0.00;0.00;0.33;111
how much tax and ni will i pay;95;2900;0.65;https://www.uknetpay.co.uk/;0.00;0.00;0.07;671000000
25000 after tax;71;2900;0.07;https://uknetpay.co.uk/salary/255000-after-tax;0.00;0.00;0.33;111
salary converter after tax;51;2900;0.61;https://www.uknetpay.co.uk/;0.00;0.00;0.01;110
salary estimate after tax;62;2900;0.61;https://www.uknetpay.co.uk/;0.00;0.00;0.01;114
my take home pay;54;2400;0.59;https://www.uknetpay.co.uk/;0.00;0.00;0.00;121
claim a tax refund;60;2400;1.52;https://www.uknetpay.co.uk/insights/tax-refund-uk-guide;0.00;0.00;0.05;130
yearly income estimator;66;2400;0.75;https://www.uknetpay.co.uk/;0.00;0.00;0.01;113
take home income calculator;59;2400;0.57;https://www.uknetpay.co.uk/;0.00;0.00;0.00;119
wage calculator after tax;48;2400;0.61;https://www.uknetpay.co.uk/;0.00;0.00;0.01;112
monthly income calculator;83;2400;0.74;https://www.uknetpay.co.uk/;0.00;0.00;0.01;101
contractor calculator uk;79;1900;1.97;https://uknetpay.co.uk/contractor/take-home;0.00;0.00;0.09;101
take-home pay calculator uk;86;1900;0.58;https://www.uknetpay.co.uk/;0.00;0.00;0.01;113
how to work out pro rata salary;90;1900;1.33;https://uknetpay.co.uk/pro-rata;0.00;0.00;0.04;101
salary take home.calculator;88;1900;0.97;https://uknetpay.co.uk/take-home;0.00;0.00;0.33;117
42000 after tax;51;1900;0.00;https://uknetpay.co.uk/salary/43000-after-tax;0.00;0.00;0.33;112
25k after tax;78;1900;0.00;https://uknetpay.co.uk/salary/255000-after-tax;0.00;0.00;0.33;111
42k after tax;57;1900;0.00;https://uknetpay.co.uk/salary/43000-after-tax;0.00;0.00;0.33;114
70000 after tax uk;60;1900;0.06;https://uknetpay.co.uk/salary/70500-after-tax;0.00;0.00;0.33;109
part time salary calculator;68;1900;2.16;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.01;98
tax threshold 2026;84;1600;0.41;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.05;127
uk net salary calculator;93;1600;0.60;https://www.uknetpay.co.uk/;0.00;0.00;0.01;106
net income calculator salary;95;1600;1.02;https://uknetpay.co.uk/;0.00;0.00;0.33;111
80000 after tax uk;66;1600;0.12;https://uknetpay.co.uk/salary/86000-after-tax;0.00;0.00;0.33;113
24000 after tax;68;1600;0.00;https://uknetpay.co.uk/salary/240000-after-tax;0.00;0.00;0.33;111
24000 after tax;58;1600;0.00;https://uknetpay.co.uk/salary/240000-after-tax;0.00;0.00;0.33;111
salary sacrifice car calculator;83;1600;0.84;https://uknetpay.co.uk/salary-sacrifice/electric-car;0.00;0.00;0.58;107
raise pay calculator;57;1600;0.00;https://uknetpay.co.uk/pay-rise;0.00;0.00;0.33;81
earnings after tax uk;58;1600;0.55;https://uknetpay.co.uk/;0.00;0.00;0.33;133
