Keyword;Position;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results
net wage calculator;35;2900;0.71;https://www.uknetpay.co.uk/;50.00;100.00;0.00;117
uk tax bands;55;14800;0.44;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;25.00;0.00;0.04;162
35500 after tax;11;210;0.00;https://www.uknetpay.co.uk/salary/35500-after-tax;25.00;0.00;0.00;1040000
calculate take home salary uk;78;210;0.85;https://uknetpay.co.uk/;0.00;0.00;0.01;118
contractor calculator uk;79;1900;1.97;https://uknetpay.co.uk/contractor/take-home;0.00;0.00;0.09;101
inside ir35 calculator take home;65;170;0.71;https://uknetpay.co.uk/ir35;0.00;0.00;0.13;103
wage calculator with bonus;67;170;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;105
27 000 salary after tax;60;110;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.01;111
net pay calculator 25 26;78;140;0.00;https://uknetpay.co.uk/;0.00;0.00;0.01;499000000
take home pay monthly calculator;68;110;0.55;https://www.uknetpay.co.uk/;0.00;0.00;0.02;517000000
take home pay monthly calculator;76;110;0.55;https://www.uknetpay.co.uk/;0.00;0.00;0.02;517000000
calculate pro rata;81;140;2.46;https://uknetpay.co.uk/pro-rata;0.00;0.00;0.03;104
income calculator yearly;95;320;0.97;https://uknetpay.co.uk/;0.00;0.00;0.01;111
teacher part time salary calculator;83;110;0.00;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.33;100
two jobs calculator;55;110;0.00;https://uknetpay.co.uk/two-jobs;0.00;0.00;0.33;99
salary calculator tax;80;320;0.62;https://www.uknetpay.co.uk/;0.00;0.00;0.01;104
salary calculator tax;82;320;0.62;https://www.uknetpay.co.uk/;0.00;0.00;0.01;104
salaray;93;110;3.83;https://uknetpay.co.uk/;0.00;0.00;0.33;134
net pay calculator hmrc;48;210;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;108
pay comparison uk;80;140;2.12;https://uknetpay.co.uk/compare;0.00;0.00;0.09;109
pay comparison uk;81;140;2.12;https://uknetpay.co.uk/compare;0.00;0.00;0.09;109
net salary estimator;78;90;0.71;https://www.uknetpay.co.uk/;0.00;0.00;0.00;126
45000 after tax;73;4400;0.05;https://uknetpay.co.uk/salary/45500-after-tax;0.00;0.00;0.33;113
earnings and tax calculator;78;90;0.94;https://www.uknetpay.co.uk/;0.00;0.00;0.11;137
weekly pay tax calculator;79;110;1.11;https://www.uknetpay.co.uk/;0.00;0.00;0.06;111
72000 after tax;42;480;0.00;https://uknetpay.co.uk/salary/72000-after-tax;0.00;0.00;0.33;111
what would i earn after tax;70;140;2.90;https://www.uknetpay.co.uk/;0.00;0.00;0.01;471000000
uk reverse tax calculator;18;110;1.12;https://www.uknetpay.co.uk/reverse;0.00;0.00;0.02;106
uk reverse tax calculator;22;110;1.12;https://www.uknetpay.co.uk/reverse;0.00;0.00;0.02;106
salary calculator uk hourly;58;260;0.00;https://www.uknetpay.co.uk/hourly;0.00;0.00;0.00;98
take-home income;42;720;0.92;https://www.uknetpay.co.uk/;0.00;0.00;0.00;127
scotland median income;32;210;0.00;https://uknetpay.co.uk/insights/average-salary-scotland-2026;0.00;0.00;0.33;125
pro rata;89;14800;10.09;https://uknetpay.co.uk/pro-rata;0.00;0.00;0.01;119
39k after tax;39;880;0.00;https://www.uknetpay.co.uk/salary/39000-after-tax;0.00;0.00;0.00;105
uk calculate take home pay;82;480;0.85;https://uknetpay.co.uk/take-home;0.00;0.00;0.01;118
salary calculator hourly uk;59;590;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;99
salary calculator hourly uk;65;590;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;99
part time pay calculator;71;590;2.16;https://uknetpay.co.uk/pro-rata;0.00;0.00;0.01;102
tax wage calculator;86;140;0.65;https://www.uknetpay.co.uk/;0.00;0.00;0.06;117
32500 after tax uk;36;170;0.00;https://uknetpay.co.uk/salary/32500-after-tax;0.00;0.00;0.01;115
pro rata calc;64;720;2.46;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.03;100
