Keyword;Position;Search Volume;CPC;Url;Traffic Cost (%);Competition
28000 after tax;48;3600;0.07;https://uknetpay.co.uk/salary/27000-after-tax;0.00;0.33
net wage calculator;35;2900;0.71;https://www.uknetpay.co.uk/;100.00;0.00
wage calculator after tax;48;2400;0.61;https://www.uknetpay.co.uk/;0.00;0.01
28000 after tax uk;49;1600;0.28;https://uknetpay.co.uk/salary/27000-after-tax;0.00;0.33
31k after tax;45;1300;0.00;https://uknetpay.co.uk/salary/31000-after-tax;0.00;0.33
wage uk calculator;42;1300;0.80;https://www.uknetpay.co.uk/;0.00;0.01
take home salary .;49;1000;0.00;https://www.uknetpay.co.uk/;0.00;0.00
27500 after tax;50;1000;0.25;https://uknetpay.co.uk/salary/28500-after-tax;0.00;0.33
27500 after tax;35;1000;0.25;https://uknetpay.co.uk/salary/27500-after-tax;0.00;0.33
39k after tax;39;880;0.00;https://www.uknetpay.co.uk/salary/39000-after-tax;0.00;0.00
26500 after tax;41;880;0.00;https://uknetpay.co.uk/salary/276500-after-tax;0.00;0.33
26500 after tax;32;880;0.00;https://uknetpay.co.uk/salary/260500-after-tax;0.00;0.33
take-home income;42;720;0.92;https://www.uknetpay.co.uk/;0.00;0.00
27k after tax uk;47;720;0.00;https://www.uknetpay.co.uk/salary/27000-after-tax;0.00;0.00
52k after tax;45;720;0.00;https://uknetpay.co.uk/salary/52500-after-tax;0.00;0.33
33k after tax uk;34;720;0.00;https://uknetpay.co.uk/salary/33000-after-tax;0.00;0.00
yearly wage;26;720;0.00;https://www.uknetpay.co.uk/;0.00;0.00
net wages calculator uk;47;720;0.60;https://www.uknetpay.co.uk/;0.00;0.01
work out my pay;49;590;0.84;https://www.uknetpay.co.uk/;0.00;0.02
23k after tax;47;590;0.00;https://uknetpay.co.uk/salary/233000-after-tax;0.00;0.33
23k after tax;31;590;0.00;https://uknetpay.co.uk/salary/23000-after-tax;0.00;0.33
thesalarycalculator uk;44;590;0.00;https://www.uknetpay.co.uk/;0.00;0.00
post tax calculator uk;50;590;0.69;https://www.uknetpay.co.uk/;0.00;0.03
salary take home pay uk;49;590;0.81;https://www.uknetpay.co.uk/;0.00;0.00
72000 after tax;42;480;0.00;https://uknetpay.co.uk/salary/72000-after-tax;0.00;0.33
44000 after tax uk;37;480;0.00;https://uknetpay.co.uk/salary/44000-after-tax;0.00;0.33
take home pay calculato;31;480;0.57;https://www.uknetpay.co.uk/;0.00;0.00
